center,finServ_finCode,transType,currency,sapHkont,description,active,flagKA,flag1T,flagIntKZ,flagTL_KA,flagTL_1T,flagTL_KA_FE,flagTL_1T_FE,flagTR_L_BBVA,flagTR_L_BMX
4104,BBVA,X,USD,1110510999,Banco Virtual,true,true,false,false,true,true,true,false,false,false
4104,BBVA,X,MXN,1110510999,Banco Virtual,true,true,false,false,true,true,true,false,false,false
4104,SCOTIA,X,USD,1110510999,Banco Virtual,true,true,false,false,true,true,true,false,false,false
4104,SCOTIA,X,MXN,1110510999,Banco Virtual,true,true,false,false,true,true,true,false,false,false
4104,BMX,X,MXN,1110510999,Banco Virtual,true,true,false,false,true,true,true,false,false,false
4105,DAIMLER,X,USD,1110510999,Banco Virtual,true,true,true,false,true,false,true,true,false,false
4105,DAIMLER,X,MXN,1110510999,Banco Virtual,true,true,true,false,true,false,true,true,false,false
4105,BBVA,X,USD,1110510999,Banco Virtual,true,true,false,false,true,true,true,false,false,false
4105,BBVA,X,MXN,1110510999,Banco Virtual,true,true,false,false,true,true,true,false,false,false
4105,BMX,X,USD,1110510999,Banco Virtual,true,true,false,false,true,true,true,false,false,false
4105,BMX,X,MXN,1110510999,Banco Virtual,true,true,false,false,true,true,true,false,false,false
4105,SCOTIA,X,USD,1110510999,Banco Virtual,true,true,false,false,true,true,true,false,false,false
4105,SCOTIA,X,MXN,1110510999,Banco Virtual,true,true,false,false,true,true,true,false,false,false
4106,DAIMLER,X,USD,1110510999,Banco Virtual,true,true,true,false,true,false,true,true,false,false
4106,DAIMLER,X,MXN,1110510999,Banco Virtual,true,true,true,false,true,false,true,true,false,false
4107,DAIMLER,X,USD,1110510999,Banco Virtual,true,true,true,false,true,false,true,true,false,false
4107,DAIMLER,X,MXN,1110510999,Banco Virtual,true,true,true,false,true,false,true,true,false,false
4107,BBVA,X,USD,1110510999,Banco Virtual,true,true,false,false,true,true,true,false,false,false
4107,BBVA,X,MXN,1110510999,Banco Virtual,true,true,false,false,true,true,true,false,false,false
4107,BMX,X,MXN,1110510999,Banco Virtual,true,true,false,false,true,true,true,false,false,false
4107,SCOTIA,X,MXN,1110510999,Banco Virtual,true,true,false,false,true,true,true,false,false,false
4108,DAIMLER,X,USD,1110510999,Banco Virtual,true,true,true,false,true,false,true,true,false,false
4108,DAIMLER,X,MXN,1110510999,Banco Virtual,true,true,true,false,true,false,true,true,false,false
4108,BBVA,X,USD,1110510999,Banco Virtual,true,true,false,false,true,true,true,false,false,false
4108,BBVA,X,MXN,1110510999,Banco Virtual,true,true,false,false,true,true,true,false,false,false
4108,BMX,X,MXN,1110510999,Banco Virtual,true,true,false,false,true,true,true,false,false,false
